"";"Site";"Side";"p.rich"
"1";"Arlanda";"E";9
"2";"Arlanda";"W";11
"3";"Aspö";"E";2
"4";"Aspö";"W";5
"5";"Björklinge";"N";3
"6";"Björklinge";"S";4
"7";"Enköping";"E";2
"8";"Enköping";"W";4
"9";"Gottröra";"N";4
"10";"Gottröra";"S";6
"11";"Hargshamn";"E";5
"12";"Hargshamn";"W";6
"13";"Häggeby";"N";7
"14";"Häggeby";"S";4
"15";"Knutby";"E";7
"16";"Knutby";"W";7
"17";"Rimbo";"N";12
"18";"Rimbo";"S";4
"19";"Rovsättra";"E";9
"20";"Rovsättra";"W";9
"21";"Sigtuna";"N";8
"22";"Sigtuna";"S";6
"23";"Skogstibble";"N";6
"24";"Skogstibble";"S";4
"25";"Skutskär";"E";7
"26";"Skutskär";"W";6
"27";"Skärplinge";"E";7
"28";"Skärplinge";"W";13
"29";"Strängnäs";"E";6
"30";"Strängnäs";"W";6
"31";"Tierp";"N";7
"32";"Tierp";"S";7
"33";"Tosterön";"E";2
"34";"Tosterön";"W";2
"35";"Upplands-Väsby";"E";3
"36";"Upplands-Väsby";"W";3
"37";"Vänge";"E";6
"38";"Vänge";"W";6
"39";"Östhammar";"E";6
"40";"Östhammar";"W";4
