"";"Site";"Side.of.the.road";"Colour";"ABC"
"1";"Arlanda";"W";"B";"A"
"2";"Arlanda";"E";"R";"B"
"3";"Aspö";"W";"R";"B"
"4";"Aspö";"E";"B";"A"
"5";"Björklinge";"N";"B";"A"
"6";"Björklinge";"S";"R";"B"
"7";"Enköping";"E";"B";"A"
"8";"Enköping";"W";"R";"B"
"9";"Gottröra";"S";"B";"A"
"10";"Gottröra";"N";"R";"B"
"11";"Hargshamn";"E";"R";"B"
"12";"Hargshamn";"W";"B";"A"
"13";"Häggeby";"S";"B";"A"
"14";"Häggeby";"N";"R";"B"
"15";"Knutby";"E";"R";"B"
"16";"Knutby";"W";"B";"A"
"17";"Rimbo";"N";"B";"A"
"18";"Rimbo";"S";"R";"B"
"19";"Rovsättra";"W";"R";"B"
"20";"Rovsättra";"E";"B";"A"
"21";"Sigtuna";"N";"B";"A"
"22";"Sigtuna";"S";"R";"B"
"23";"Skogstibble";"N";"R";"B"
"24";"Skogstibble";"S";"B";"A"
"25";"Skutskär";"E";"R";"B"
"26";"Skutskär";"W";"B";"A"
"27";"Skärplinge";"E";"R";"B"
"28";"Skärplinge";"W";"B";"A"
"29";"Strängnäs";"E";"B";"A"
"30";"Strängnäs";"W";"R";"B"
"31";"Tierp";"N";"B";"A"
"32";"Tierp";"S";"R";"B"
"33";"Tosterön";"W";"R";"B"
"34";"Tosterön";"E";"B";"A"
"35";"Upplands-Väsby";"W";"R";"B"
"36";"Upplands-Väsby";"E";"B";"A"
"37";"Vänge";"E";"B";"A"
"38";"Vänge";"W";"R";"B"
"39";"Östhammar";"W";"B";"A"
"40";"Östhammar";"E";"R";"B"
